"date","value","variation"
"01.05.2025","100,8954","-0.03%"
"01.04.2025","100,9267","-5.14%"
"01.03.2025","106,4009","+3.55%"
"01.02.2025","102,7507","+0.45%"
"01.01.2025","102,2923","+3.58%"
"01.12.2024","98,7611","+0.63%"
"01.11.2024","98,1416","+0.05%"
"01.10.2024","98,0956","-2.24%"
"01.09.2024","100,3406","+4.43%"
"01.08.2024","96,0873","-0.38%"
"01.07.2024","96,4493","-4.50%"
"01.06.2024","100,9915","-1.94%"
"01.05.2024","102,9915","+1.30%"
"01.04.2024","101,6744","+2.20%"
"01.03.2024","99,4894","+2.89%"
"01.02.2024","96,6989","-1.89%"
"01.01.2024","98,5602","-0.09%"
"01.12.2023","98,6460","-3.10%"
"01.11.2023","101,8067","-2.69%"
"01.10.2023","104,6162","-0.21%"
"01.09.2023","104,8391","-1.12%"
"01.08.2023","106,0289","-1.22%"
"01.07.2023","107,3396","+5.78%"
"01.06.2023","101,4785","+3.59%"
