"date","value","variation"
"01.05.2025","7,2149","-0.78%"
"01.04.2025","7,2714","+0.20%"
"01.03.2025","7,2572","-0.37%"
"01.02.2025","7,2838","+0.45%"
"01.01.2025","7,2514","-0.66%"
"01.12.2024","7,2993","+0.79%"
"01.11.2024","7,2423","+1.75%"
"01.10.2024","7,1178","+1.43%"
"01.09.2024","7,0176","-1.02%"
"01.08.2024","7,0900","-1.79%"
"01.07.2024","7,2193","-0.66%"
"01.06.2024","7,2672","+0.35%"
"01.05.2024","7,2415","+0.02%"
"01.04.2024","7,2401","+0.27%"
"01.03.2024","7,2203","+0.45%"
"01.02.2024","7,1877","+0.28%"
"01.01.2024","7,1673","+0.98%"
"01.12.2023","7,0978","-0.54%"
"01.11.2023","7,1360","-2.46%"
"01.10.2023","7,3158","+0.20%"
"01.09.2023","7,3010","+0.59%"
"01.08.2023","7,2582","+1.62%"
"01.07.2023","7,1426","-1.50%"
"01.06.2023","7,2513","+1.97%"
